food/drink,serving,calorie
Salmon,1/2 fillet,367
Shells,1 cup,300
Skim Milk,1 cup,86
Skirt Steak,6 oz.,344
Soda,12 fl. oz.,188
Sour Cream,1 tbsp,22
Sour Cream,1 tbsp,26
Soy Milk ,1 cup,109
Soy Sauce,1 tbsp,10
Spaghetti,2 oz.,207
SPAM,1 serving,176
Sparebibs,3 oz.,337
Special K,1 serving,139
Spinach,1 bunch,78
Squash,1 squash,88
Squirrel,1 piece,541
Strawberries,1 cup,49
Strawberry Ice Cream,1 scoop,170
Sweet Potato,1 potato,112
Sweet Potato Pie,1 piece,341
T-Bone Steak,6 oz. ,371
Taco,1 taco,213
Tangerine,1 tangerine,47
Tequila ,1 shot,28
Tiramisu,1 serving,492
Tomato Juice,8 fl. oz.,41
Tortilla,1 tortilla,180
Tortilla Chip,20 chips,160
Tuna,1/2 fillet,203
Tuna Salad,1 cup,383
Turkey,1 slice ,22
Turkey Cutlet,1 cutlet,214
Turkey Drumsticks,1 serving,208
Turkey Wings,1 wing,53
Vanilla Ice Cream,1 scoop ,145
Vodka,1 shot,58
Waffles,1 waffle,103
Water,8 fl. oz.,0
Watermelon,1 wedge,86
Wedding Cake,1 piece,415
Wheaties,1 serving,136
Whipped Cream,1 tbsp,8
White Bread,1 slice,67
White Wine,1 glass,123
Whole Wheat Bread,1 slice,114
Ziti,2 oz.,197
Zucchini,1 zucchini,33
